rank,post_url,post_date,post_title,issue_hints,media_url,sha256,width,height,geometry_class,text_chars,keyword_hits,issue_matches,page_matches,ocr_excerpt,classification,error
11,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4m.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/bmiddle/4c4fc7d9t917440f21471&690,d73862d642fb201499d9a841547dcc57aa17d6ecdcd83f6658710ed500d1f63e,439,1356,vertical_strip_fragment,190,,,A,个 ~ ©) de 故事 辞职事件 ay. 区 Simi PL nnn tei 背10句英 4 语对话、阅读2小时、做奥数 © a 首.… Ed 从 \ AKAM. BR ES. Wk AB. AE Ee GK®) vi ey ms 1 区一 4. Sn (s . 时 yw iy A 1? BORO eT PEBM EEF I MW! ! RA CMM eel 什么听你们的安排? ? 1 ! - 了 网 aN n> TOO aa Cw (a 不 全 aa MAL! 区 atte mY en v eens t® gt ey Nos a s,newspaper_fragment_candidate,
12,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4m.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/large/4c4fc7d9t917440f21471&690,6dcbf09b2743b450db246775af5f38f87bacc169098a803544683af37a4611ee,439,1356,vertical_strip_fragment,202,,,,"-AL ff个\ 下 人 de 故事 辞职事件 ay. 区 Sih: 群儿 Wea 背10句英 ys 语对话、阅读2小时、做奥数 © a 首。 Ed 从 Ags ERRDMOL. BER = Sh, IR. AEE GK®) 洗、游 ra 和 y ~ bs 4 、 iy pd a? BORO eT RIERLMGET) | 啊! ! RAC BUNSE baa 什么听你们的安排? ? 1 ! - Ma. aA fe a, 习 NA fy AN 不 全 one ile 区 eee 人 cron N 0 WP) as eas eietey J NE a SS",newspaper_fragment_candidate,
13,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4p.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/bmiddle/4c4fc7d9t917450783811&690,1bee66244f93a4b098ec3c05790c5425c07460ce1c74fbfd052e3b2517327779,439,1356,vertical_strip_fragment,113,,,B,何) ME] de 故事 As a ae Pees a Pina H 6 : pe eS ‘B id ——' is ei fet = fs cg 6 x oS 7 = . Kt faa dois aus NS月 总 (ir) iN “% me 总 ss 和 ih = 打游戏” 攻 时我最缺玩星! 候其 a) ir aes aR),newspaper_fragment_candidate,
14,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4p.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/large/4c4fc7d9t917450783811&690,f9f0b0c8e650b560fe7cf05db4aa386b29a0a21886e51f8a81840d9b7b7c7c4d,439,1356,vertical_strip_fragment,90,,,A,) de 故事 PH 5 Goyer. Di 所 HK ae) ty A aa rn err rm TAR EN ke ) BA 1g \e OF | II (Ge Re? RD Tr iN “% 多 9 S < 打游戏 we Grete ae) eae See,newspaper_fragment_candidate,
15,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll3y.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s7.sinaimg.cn/middle/4c4fc7d9t9173dd4a80c6&690,2f8e3813f2a7f1b871419f25769b4f4f09eed1e52fb87523803333a9667d47ae,223,690,vertical_strip_fragment,79,,,,"OP ws ~ actin <2"" a bd . Re any Bg) 人 yy rs? | AS 1 Mm iL if ba 2 ip 20 je] ty fee fa ee ae I ple Bee J CI yee Se Il",non_newspaper_or_low_text,
16,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll47.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s8.sinaimg.cn/middle/4c4fc7d9t91740041c527&690,786591374e42840b7abd55dcf586188a7bbb875a08d6bf77e1a41614269b92eb,223,690,vertical_strip_fragment,73,,,,One xe AY se yee 家 = ee TSB ms ail a ta? awe Cw eel fis’ Sal i ae ae ee Re 分”外 ae | eo KS Sy SY aoe | ——_,non_newspaper_or_low_text,
17,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4e.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/middle/4c4fc7d9t91740f7d40b1&690,c448f461d94b9d53690083f889b86b36e3ac37b75e364955d6a2ebd033a7e1c5,223,690,vertical_strip_fragment,41,,,,"Ore, wet, ec ee wee | ORNS) Rs NY 4 a ak =» y \\ a vA es P\",non_newspaper_or_low_text,
18,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4h.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s12.sinaimg.cn/middle/4c4fc7d9t91742152fc4b&690,160a51210cca51072e85e124b5fba9f0e226d0fa44f42cd88d20c8f28dfd8e7f,223,690,vertical_strip_fragment,57,,,,"PO to) ? 4 好 ees ng Se ee cot [ae a a hie) {ey — ar ie i 辆 a ra ey = Ss ru foxy, Nis",non_newspaper_or_low_text,
19,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4l.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s6.sinaimg.cn/middle/4c4fc7d9t91742b0dfa95&690,7f3e57511bd71ccfbd94f359bf49cb5f79764dfa07bcc27c921532e8c50a39ca,223,690,vertical_strip_fragment,90,,,,1 ea 。 ayant 3 oe ee mee ae | bs — Nee: [ET 而 LE a4 | 2 5 a IY v! [oe ST 二一一- exe) pee Olay) BORON sess li eee) 基 = | 本 CE = | \==,newspaper_fragment_candidate,
20,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4m.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/middle/4c4fc7d9t917440f21471&690,73beed2349bb38a533e60a46c0440e5b4c614263ddbeef8f5694be4b0db56739,223,690,vertical_strip_fragment,25,,,,OR ne AR a ‘.* (mn I Ada | 中 Me ge * a,non_newspaper_or_low_text,
21,https://blog.sina.com.cn/s/blog_4c4fc7d90100ll4p.html,2010-09-30,白小葱的故事_齐鲁少年编辑部的故事_新浪博客,941,http://s2.sinaimg.cn/middle/4c4fc7d9t917450783811&690,6c020d6726a110c18fbfd045dd98a526fee66ce4fc538e0f95a5e648ca5185d6,223,690,vertical_strip_fragment,32,,,,"OR ne ba tle rad ee | —_: PS GE Cs, or? q Las",non_newspaper_or_low_text,
22,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,2012-01-10,今天我评报_齐鲁少年编辑部的故事_新浪博客,,http://s12.sinaimg.cn/large/4c4fc7d9hb626902713eb&690,92592bb66b826a7d65856b6d713334d7f648a43aa3d4e9e27cbdf7c2dc32631f,1944,2592,portrait_page_or_photo,103,版,,,i | ee httpy/www.qisn.com QQ; 857087447 bi ‘ iis K 山东省少工要主办 ? x v = ge 401458 bel bd ) & 1006- [五 2012年1月3日出版 Vv x 全 : s * (ie haat * pm,non_newspaper_or_low_text,
23,https://blog.sina.com.cn/s/blog_4c4fc7d901011cp9.html,2012-01-10,今天我评报_齐鲁少年编辑部的故事_新浪博客,,http://s12.sinaimg.cn/middle/4c4fc7d9hb626902713eb&690,c1d5eb2d58495854b92cdad5f65628ed90fe4a2e187305497721a44978c6f6fd,518,690,portrait_page_or_photo,12,,,,"SS vv — 5 限于 M , a &",non_newspaper_or_low_text,
24,https://blog.sina.com.cn/s/blog_4c4fc7d90101a12p.html,2013-01-05,我们一起行动——用爱，温暖这个冬天_齐鲁少年编辑部的故事_新浪博客,1057,http://s8.sinaimg.cn/large/4c4fc7d9hd2809bbc14b7&690,1ad29e2c7d51858fb84d00ab8363eb027d46ddd325d2650f64784be095172309,542,782,portrait_page_or_photo,296,,,,"爱，温暖这个冬天 用爱，温暖这个冬 B22K, FOUR ese = a 2 Ene - Js wee T See $ : m* W ‘ in 和 mo Vy be i y 4 SRARsoms, wexean, wo, ZeRKROM—wHR, SRBACH, ORTERENN, Be, RONTEOR—wER, 和果，作有更大的和 BimnMERERNEARMA Ce. AEHATARS, OAARD, WHRERDAD. MERNALeENE, HENEORM, 一个人 naaxes-RouRO— NERA 下子 SROMEESEEANS, HUNOE-RERNEOATEG. “RHARERARENICE, MROARNZOSNMAHO. isos peal LE MORTAR ~ a ~~",dense_print_candidate,
